0 0 0 OP.ZBBOPCZ.DOPCAADEE...QRRR..QFF...Q
1 1 0 OPCZBBOPCZ.DOP.AADEE...QRRR..QFF...Q C99
1 1 0 OP.ZBBOP.Z.DOPCAADEEC..QRRR..QFF...Q C99
1 1 0 OP.ZBBOPCZ.DOPCAAD.EE..QRRR..QFF...Q E99
1 1 0 OP.ZBBOPCZ.DOPCAAD..EE.QRRR..QFF...Q E98
1 1 0 OP.ZBBOPCZ.DOPCAAD...EEQRRR..QFF...Q E97
1 1 0 OP.ZBBOPCZ.DOPCAADEE...QRRR..Q.FF..Q F99
1 1 0 OP.ZBBOPCZ.DOPCAADEE...QRRR..Q..FF.Q F98
1 1 0 OP.ZBBOPCZ.DOPCAADEE...QRRR..Q...FFQ F97
1 1 0 OP.ZBBOPCZ.DOPCAADEE...Q.RRR.QFF...Q R99
1 1 0 OP.ZBBOPCZ.DOPCAADEE...Q..RRRQFF...Q R98
2 2 0 OPCZBBOPCZ.DOPAA.DEE...QRRR..QFF...Q C99 A99
2 2 0 OPCZBBOPCZ.DOP.AAD.EE..QRRR..QFF...Q C99 E99
2 2 0 OPCZBBOPCZ.DOP.AAD..EE.QRRR..QFF...Q C99 E98
2 2 0 OPCZBBOPCZ.DOP.AAD...EEQRRR..QFF...Q C99 E97
2 2 0 OPCZBBOPCZ.DOP.AADEE...QRRR..Q.FF..Q C99 F99
2 2 0 OPCZBBOPCZ.DOP.AADEE...QRRR..Q..FF.Q C99 F98
2 2 0 OPCZBBOPCZ.DOP.AADEE...QRRR..Q...FFQ C99 F97
2 2 0 OPCZBBOPCZ.DOP.AADEE...Q.RRR.QFF...Q C99 R99
2 2 0 OPCZBBOPCZ.DOP.AADEE...Q..RRRQFF...Q C99 R98
2 2 0 OP.ZBBOP.Z.DOPCAADEEC..QRRR..Q.FF..Q C99 F99
2 2 0 OP.ZBBOP.Z.DOPCAADEEC..QRRR..Q..FF.Q C99 F98
2 2 0 OP.ZBBOP.Z.DOPCAADEEC..QRRR..Q...FFQ C99 F97
2 2 0 OP.ZBBOP.Z.DOPCAADEEC..Q.RRR.QFF...Q C99 R99
2 2 0 OP.ZBBOP.Z.DOPCAADEEC..Q..RRRQFF...Q C99 R98
2 2 0 OP.ZBBOPCZ.DOPCAAD.EE..QRRR..Q.FF..Q E99 F99
2 2 0 OP.ZBBOPCZ.DOPCAAD.EE..QRRR..Q..FF.Q E99 F98
2 2 0 OP.ZBBOPCZ.DOPCAAD.EE..QRRR..Q...FFQ E99 F97
2 2 0 .P.ZBBOPCZ.DOPCAADOEE..QRRR..QFF...Q O99 E99
2 2 0 OP.ZBBOPCZ.DOPCAAD.EE..Q.RRR.QFF...Q E99 R99
2 2 0 OP.ZBBOPCZ.DOPCAAD.EE..Q..RRRQFF...Q E99 R98
2 2 0 OP.ZBBOPCZ.DOPCAAD..EE.QRRR..Q.FF..Q E98 F99
2 2 0 OP.ZBBOPCZ.DOPCAAD..EE.QRRR..Q..FF.Q E98 F98
2 2 0 OP.ZBBOPCZ.DOPCAAD..EE.QRRR..Q...FFQ E98 F97
2 2 0 .P.ZBBOPCZ.DOPCAADO.EE.QRRR..QFF...Q O99 E98
2 2 0 O..ZBBOPCZ.DOPCAAD.PEE.QRRR..QFF...Q P99 E98
2 2 0 OP.ZBBOPCZ.DOPCAAD..EE.Q.RRR.QFF...Q E98 R99
2 2 0 OP.ZBBOPCZ.DOPCAAD..EE.Q..RRRQFF...Q E98 R98
2 2 0 OP.ZBBOP.Z.DOPCAAD..CEEQRRR..QFF...Q C99 E97
2 2 0 OP.ZBBOPCZ.DOPCAAD...EEQRRR..Q.FF..Q E97 F99
2 2 0 OP.ZBBOPCZ.DOPCAAD...EEQRRR..Q..FF.Q E97 F98
2 2 0 OP.ZBBOPCZ.DOPCAAD...EEQRRR..Q...FFQ E97 F97
2 2 0 .P.ZBBOPCZ.DOPCAADO..EEQRRR..QFF...Q O99 E97
2 2 0 O..ZBBOPCZ.DOPCAAD.P.EEQRRR..QFF...Q P99 E97
2 2 0 OP.ZBBOPCZ.DOPCAAD...EEQ.RRR.QFF...Q E97 R99
2 2 0 OP.ZBBOPCZ.DOPCAAD...EEQ..RRRQFF...Q E97 R98
2 2 0 OP.ZBBOPCZ.DOPCAADEE...Q.RRR.Q.FF..Q R99 F99
2 2 0 OP.ZBBOPCZ.DOPCAADEE...Q..RRRQ.FF..Q R98 F99
2 2 0 OP.ZBBOPCZ.DOPCAADEE...Q.RRR.Q..FF.Q R99 F98
2 2 0 OP.ZBBOPCZ.DOPCAADEE...Q..RRRQ..FF.Q R98 F98
2 2 0 OP.ZBBOPCZ.DOPCAADEE...Q.RRR.Q...FFQ R99 F97
2 2 0 OP.ZBBOPCZ.DOPCAADEE...Q..RRRQ...FFQ R98 F97
3 3 0 OPCZBBOPCZ.DOPAA.D.EE..QRRR..QFF...Q C99 A99 E99
3 3 0 OPCZBBOPCZ.DOPAA.D..EE.QRRR..QFF...Q C99 A99 E98
3 3 0 OPCZBBOPCZ.DOPAA.D...EEQRRR..QFF...Q C99 A99 E97
3 3 0 OPCZBBOPCZ.DOPAA.DEE...QRRR..Q.FF..Q C99 A99 F99
3 3 0 OPCZBBOPCZ.DOPAA.DEE...QRRR..Q..FF.Q C99 A99 F98
3 3 0 OPCZBBOPCZ.DOPAA.DEE...QRRR..Q...FFQ C99 A99 F97
3 3 0 OPCZBBOPCZ.DOPAA.DEE...Q.RRR.QFF...Q C99 A99 R99
3 3 0 OPCZBBOPCZ.DOPAA.DEE...Q..RRRQFF...Q C99 A99 R98
3 3 0 OPCZBBOPCZ.DOP.AAD.EE..QRRR..Q.FF..Q C99 E99 F99
3 3 0 OPCZBBOPCZ.DOP.AAD.EE..QRRR..Q..FF.Q C99 E99 F98
3 3 0 OPCZBBOPCZ.DOP.AAD.EE..QRRR..Q...FFQ C99 E99 F97
3 3 0 .PCZBBOPCZ.DOP.AADOEE..QRRR..QFF...Q O99 C99 E99
3 3 0 OPCZBBOPCZ.DOP.AAD.EE..Q.RRR.QFF...Q C99 E99 R99
3 3 0 OPCZBBOPCZ.DOP.AAD.EE..Q..RRRQFF...Q C99 E99 R98
3 3 0 OPCZBBOPCZ.DOP.AAD..EE.QRRR..Q.FF..Q C99 E98 F99
3 3 0 OPCZBBOPCZ.DOP.AAD..EE.QRRR..Q..FF.Q C99 E98 F98
3 3 0 OPCZBBOPCZ.DOP.AAD..EE.QRRR..Q...FFQ C99 E98 F97
3 3 0 .PCZBBOPCZ.DOP.AADO.EE.QRRR..QFF...Q O99 C99 E98
3 3 0 O.CZBBOPCZ.DOP.AAD.PEE.QRRR..QFF...Q P99 C99 E98
3 3 0 OPCZBBOPCZ.DOP.AAD..EE.Q.RRR.QFF...Q C99 E98 R99
3 3 0 OPCZBBOPCZ.DOP.AAD..EE.Q..RRRQFF...Q C99 E98 R98
3 3 0 OPCZBBOPCZ.DOP.AAD...EEQRRR..Q.FF..Q C99 E97 F99
3 3 0 OPCZBBOPCZ.DOP.AAD...EEQRRR..Q..FF.Q C99 E97 F98
3 3 0 OPCZBBOPCZ.DOP.AAD...EEQRRR..Q...FFQ C99 E97 F97
3 3 0 .PCZBBOPCZ.DOP.AADO..EEQRRR..QFF...Q O99 C99 E97
3 3 0 O.CZBBOPCZ.DOP.AAD.P.EEQRRR..QFF...Q P99 C99 E97
3 3 0 OPCZBBOPCZ.DOP.AAD...EEQ.RRR.QFF...Q C99 E97 R99
3 3 0 OPCZBBOPCZ.DOP.AAD...EEQ..RRRQFF...Q C99 E97 R98
3 3 0 OPCZBBOPCZ.DOP.AADEE...Q.RRR.Q.FF..Q C99 R99 F99
3 3 0 OPCZBBOPCZ.DOP.AADEE...Q..RRRQ.FF..Q C99 R98 F99
3 3 0 OPCZBBOPCZ.DOP.AADEE...Q.RRR.Q..FF.Q C99 R99 F98
3 3 0 OPCZBBOPCZ.DOP.AADEE...Q..RRRQ..FF.Q C99 R98 F98
3 3 0 OPCZBBOPCZ.DOP.AADEE...Q.RRR.Q...FFQ C99 R99 F97
3 3 0 OPCZBBOPCZ.DOP.AADEE...Q..RRRQ...FFQ C99 R98 F97
3 3 0 OP.ZBBOP.Z.DOPCAADEEC..Q.RRR.Q.FF..Q C99 R99 F99
3 3 0 OP.ZBBOP.Z.DOPCAADEEC..Q..RRRQ.FF..Q C99 R98 F99
3 3 0 OP.ZBBOP.Z.DOPCAADEEC..Q.RRR.Q..FF.Q C99 R99 F98
3 3 0 OP.ZBBOP.Z.DOPCAADEEC..Q..RRRQ..FF.Q C99 R98 F98
3 3 0 OP.ZBBOP.Z.DOPCAADEEC..Q.RRR.Q...FFQ C99 R99 F97
3 3 0 OP.ZBBOP.Z.DOPCAADEEC..Q..RRRQ...FFQ C99 R98 F97
3 3 0 .P.ZBBOPCZ.DOPCAADOEE..QRRR..Q.FF..Q O99 E99 F99
3 3 0 OP.ZBBOPCZ.DOPCAAD.EE..Q.RRR.Q.FF..Q E99 R99 F99
3 3 0 OP.ZBBOPCZ.DOPCAAD.EE..Q..RRRQ.FF..Q E99 R98 F99
3 3 0 .P.ZBBOPCZ.DOPCAADOEE..QRRR..Q..FF.Q O99 E99 F98
3 3 0 OP.ZBBOPCZ.DOPCAAD.EE..Q.RRR.Q..FF.Q E99 R99 F98
3 3 0 OP.ZBBOPCZ.DOPCAAD.EE..Q..RRRQ..FF.Q E99 R98 F98
3 3 0 .P.ZBBOPCZ.DOPCAADOEE..QRRR..Q...FFQ O99 E99 F97
