0 0 0 ....O.....OZAA.BOZCC.B...DPPP..D....
1 1 0 ....O.....OZ.AABOZCC.B...DPPP..D.... A99
1 1 0 ....O....BOZAA.BOZCC.....DPPP..D.... B99
1 1 0 ...BO....BOZAA..OZCC.....DPPP..D.... B98
1 1 0 ....O.....OZAA.BOZ.CCB...DPPP..D.... C99
1 1 0 ..........OZAA.BOZCC.BO..DPPP..D.... O99
1 1 0 ....O.....OZAA.BOZCC.B...D.PPP.D.... P99
1 1 0 ....OZ....OZAA.BO.CC.B...DPPP..D.... Z99
1 1 0 ....O.....O.AA.BOZCC.B.Z.DPPP..D.... Z99
1 1 0 ....O.....O.AA.BO.CC.B.Z.DPPPZ.D.... Z98
1 1 0 ....O.....O.AA.BO.CC.B...DPPPZ.D...Z Z97
2 2 0 ....O....BOZ.AABOZCC.....DPPP..D.... A99 B99
2 2 0 ...BO....BOZ.AA.OZCC.....DPPP..D.... A99 B98
2 2 0 ....O.....OZ.AABOZ.CCB...DPPP..D.... A99 C99
2 2 0 ..........OZ.AABOZCC.BO..DPPP..D.... O99 A99
2 2 0 ....O.....OZ.AABOZCC.B...D.PPP.D.... A99 P99
2 2 0 ....OZ....OZ.AABO.CC.B...DPPP..D.... Z99 A99
2 2 0 ....O.....O..AABOZCC.B.Z.DPPP..D.... Z99 A99
2 2 0 ....O.....O..AABO.CC.B.Z.DPPPZ.D.... Z98 A99
2 2 0 ....O.....O..AABO.CC.B...DPPPZ.D...Z Z97 A99
2 2 0 ....O....BOZAA.BOZ.CC....DPPP..D.... B99 C99
2 2 0 ....O....BOZAA.BOZ..CC...DPPP..D.... B99 C98
2 2 0 ....O....BOZAA.BOZ...CC..DPPP..D.... B99 C97
2 2 0 ....O....BOZAA.BOZ....CC.DPPP..D.... B99 C96
2 2 0 .........BOZAA.BOZCC..O..DPPP..D.... O99 B99
2 2 0 ....O....BOZAA.BOZCC.....D.PPP.D.... B99 P99
2 2 0 ....OZ...BOZAA.BO.CC.....DPPP..D.... Z99 B99
2 2 0 ....O....BO.AA.BOZCC...Z.DPPP..D.... Z99 B99
2 2 0 ....O....BO.AA.BO.CC...Z.DPPPZ.D.... Z98 B99
2 2 0 ....O....BO.AA.BO.CC.....DPPPZ.D...Z Z97 B99
2 2 0 ...BO....BOZ..AAOZCC.....DPPP..D.... A98 B98
2 2 0 ...BO....BOZAA..OZ.CC....DPPP..D.... B98 C99
2 2 0 ...BO....BOZAA..OZ..CC...DPPP..D.... B98 C98
2 2 0 ...BO....BOZAA..OZ...CC..DPPP..D.... B98 C97
2 2 0 ...BO....BOZAA..OZ....CC.DPPP..D.... B98 C96
2 2 0 ...B.....BOZAA..OZCC..O..DPPP..D.... O99 B98
2 2 0 ...BO....BOZAA..OZCC.....D.PPP.D.... B98 P99
2 2 0 ...BOZ...BOZAA..O.CC.....DPPP..D.... Z99 B98
2 2 0 ...BO....BO.AA..OZCC...Z.DPPP..D.... Z99 B98
2 2 0 ...BO....BO.AA..O.CC...Z.DPPPZ.D.... Z98 B98
2 2 0 ...BO....BO.AA..O.CC.....DPPPZ.D...Z Z97 B98
2 2 0 ..........OZAA.BOZ.CCBO..DPPP..D.... O99 C99
2 2 0 ....O.....OZAA.BOZ.CCB...D.PPP.D.... C99 P99
2 2 0 ....OZ....OZAA.BO..CCB...DPPP..D.... Z99 C99
2 2 0 ....O.....O.AA.BOZ.CCB.Z.DPPP..D.... Z99 C99
2 2 0 ....O.....O.AA.BO..CCB.Z.DPPPZ.D.... Z98 C99
2 2 0 ....O.....O.AA.BO..CCB...DPPPZ.D...Z Z97 C99
2 2 0 ..........OZAA.BOZCC.BO..D.PPP.D.... O99 P99
2 2 0 .....Z....OZAA.BO.CC.BO..DPPP..D.... O99 Z99
2 2 0 ..........O.AA.BOZCC.BOZ.DPPP..D.... O99 Z99
2 2 0 ..........O.AA.BO.CC.BOZ.DPPPZ.D.... O99 Z98
2 2 0 ..........O.AA.BO.CC.BO..DPPPZ.D...Z O99 Z97
2 2 0 ....OZ....OZAA.BO.CC.B...D.PPP.D.... Z99 P99
2 2 0 ....O.....O.AA.BOZCC.B.Z.D.PPP.D.... Z99 P99
3 3 0 ....O....BOZ.AABOZ.CC....DPPP..D.... A99 B99 C99
3 3 0 ....O....BOZ.AABOZ..CC...DPPP..D.... A99 B99 C98
3 3 0 ....O....BOZ.AABOZ...CC..DPPP..D.... A99 B99 C97
3 3 0 ....O....BOZ.AABOZ....CC.DPPP..D.... A99 B99 C96
3 3 0 .........BOZ.AABOZCC..O..DPPP..D.... O99 A99 B99
3 3 0 ....O....BOZ.AABOZCC.....D.PPP.D.... A99 B99 P99
3 3 0 ....OZ...BOZ.AABO.CC.....DPPP..D.... Z99 A99 B99
3 3 0 ....O....BO..AABOZCC...Z.DPPP..D.... Z99 A99 B99
3 3 0 ....O....BO..AABO.CC...Z.DPPPZ.D.... Z98 A99 B99
3 3 0 ....O....BO..AABO.CC.....DPPPZ.D...Z Z97 A99 B99
3 3 0 ...BO....BOZ.AA.OZ.CC....DPPP..D.... A99 B98 C99
3 3 0 ...BO....BOZ.AA.OZ..CC...DPPP..D.... A99 B98 C98
3 3 0 ...BO....BOZ.AA.OZ...CC..DPPP..D.... A99 B98 C97
3 3 0 ...BO....BOZ.AA.OZ....CC.DPPP..D.... A99 B98 C96
3 3 0 ...B.....BOZ.AA.OZCC..O..DPPP..D.... O99 A99 B98
3 3 0 ...BO....BOZ.AA.OZCC.....D.PPP.D.... A99 B98 P99
3 3 0 ...BOZ...BOZ.AA.O.CC.....DPPP..D.... Z99 A99 B98
3 3 0 ...BO....BO..AA.OZCC...Z.DPPP..D.... Z99 A99 B98
3 3 0 ...BO....BO..AA.O.CC...Z.DPPPZ.D.... Z98 A99 B98
3 3 0 ...BO....BO..AA.O.CC.....DPPPZ.D...Z Z97 A99 B98
3 3 0 ..........OZ.AABOZ.CCBO..DPPP..D.... O99 A99 C99
3 3 0 ....O.....OZ.AABOZ.CCB...D.PPP.D.... A99 C99 P99
3 3 0 ....OZ....OZ.AABO..CCB...DPPP..D.... Z99 A99 C99
3 3 0 ....O.....O..AABOZ.CCB.Z.DPPP..D.... Z99 A99 C99
3 3 0 ....O.....O..AABO..CCB.Z.DPPPZ.D.... Z98 A99 C99
3 3 0 ....O.....O..AABO..CCB...DPPPZ.D...Z Z97 A99 C99
3 3 0 ..........OZ.AABOZCC.BO..D.PPP.D.... O99 A99 P99
3 3 0 .....Z....OZ.AABO.CC.BO..DPPP..D.... O99 Z99 A99
3 3 0 ..........O..AABOZCC.BOZ.DPPP..D.... O99 Z99 A99
3 3 0 ..........O..AABO.CC.BOZ.DPPPZ.D.... O99 Z98 A99
3 3 0 ..........O..AABO.CC.BO..DPPPZ.D...Z O99 Z97 A99
3 3 0 ....OZ....OZ.AABO.CC.B...D.PPP.D.... Z99 A99 P99
3 3 0 ....O.....O..AABOZCC.B.Z.D.PPP.D.... Z99 A99 P99
3 3 0 .........BOZAA.BOZ.CC.O..DPPP..D.... O99 B99 C99
3 3 0 ....O....BOZAA.BOZ.CC....D.PPP.D.... B99 C99 P99
3 3 0 ....OZ...BOZAA.BO..CC....DPPP..D.... Z99 B99 C99
3 3 0 ....O....BO.AA.BOZ.CC..Z.DPPP..D.... Z99 B99 C99
3 3 0 ....O....BO.AA.BO..CC..Z.DPPPZ.D.... Z98 B99 C99
3 3 0 ....O....BO.AA.BO..CC....DPPPZ.D...Z Z97 B99 C99
3 3 0 ....O....BOZAA.BOZ.DCC...DPPP....... B99 C98 D99
3 3 0 .........BOZAA.BOZ..CCO..DPPP..D.... O99 B99 C98
3 3 0 ....O....BOZAA.BOZ..CC...D.PPP.D.... B99 C98 P99
3 3 0 ....OZ...BOZAA.BO...CC...DPPP..D.... Z99 B99 C98
3 3 0 ....O....BO.AA.BOZ..CC.Z.DPPP..D.... Z99 B99 C98
3 3 0 ....O....BO.AA.BO...CC.Z.DPPPZ.D.... Z98 B99 C98
3 3 0 ....O....BO.AA.BO...CC...DPPPZ.D...Z Z97 B99 C98
3 3 0 ....O....BOZAA.BOZ.D.CC..DPPP....... B99 C97 D99
3 3 0 ....O....BOZAA.BOZ...CC..D.PPP.D.... B99 C97 P99
3 3 0 ....OZ...BOZAA.BO....CC..DPPP..D.... Z99 B99 C97
