0 0 0 ..OOOP....ZPAAB.ZPC.B...C...DD......
1 1 0 ..OOOP..B.ZPAAB.ZPC.....C...DD...... B99
1 1 0 ..OOOP....ZPAA..ZPC.B...C.B.DD...... B99
1 1 0 ..OOOP....ZPAA..ZPC.....C.B.DD..B... B98
1 1 0 ..OOOP....ZPAAB.ZP..B...C...DDC..... C99
1 1 0 ..OOOP....ZPAAB.ZPC.B...C..DD....... D99
1 1 0 ..OOOP....ZPAAB.ZPC.B...C.DD........ D98
1 1 0 ..OOOP....ZPAAB.ZPC.B...CDD......... D97
1 1 0 .OOO.P....ZPAAB.ZPC.B...C...DD...... O99
1 1 0 OOO..P....ZPAAB.ZPC.B...C...DD...... O98
1 1 0 ..OOO.....ZPAAB.ZPC.B..PC...DD...... P99
1 1 0 ..OOOP.....PAAB.ZPC.B.Z.C...DD...... Z99
2 2 0 ..OOOP..B.ZPAAB.ZP......C...DDC..... B99 C99
2 2 0 ..OOOP..B.ZPAAB.ZPC.....C..DD....... B99 D99
2 2 0 ..OOOP..B.ZPAAB.ZPC.....C.DD........ B99 D98
2 2 0 ..OOOP..B.ZPAAB.ZPC.....CDD......... B99 D97
2 2 0 .OOO.P..B.ZPAAB.ZPC.....C...DD...... O99 B99
2 2 0 OOO..P..B.ZPAAB.ZPC.....C...DD...... O98 B99
2 2 0 ..OOO...B.ZPAAB.ZPC....PC...DD...... P99 B99
2 2 0 ..OOOP..B..PAAB.ZPC...Z.C...DD...... Z99 B99
2 2 0 ..OOOP....ZP.AA.ZPC.B...C.B.DD...... A99 B99
2 2 0 ..OOOP....ZP..AAZPC.B...C.B.DD...... A98 B99
2 2 0 ..OOOP....ZPAA..ZP..B...C.B.DDC..... B99 C99
2 2 0 ..OOOP....ZPAA..ZPC.B...C.BDD....... B99 D99
2 2 0 .OOO.P....ZPAA..ZPC.B...C.B.DD...... O99 B99
2 2 0 OOO..P....ZPAA..ZPC.B...C.B.DD...... O98 B99
2 2 0 ..OOO.....ZPAA..ZPC.B..PC.B.DD...... P99 B99
2 2 0 ..OOOP.....PAA..ZPC.B.Z.C.B.DD...... Z99 B99
2 2 0 ..OOOP....ZP.AA.ZPC.....C.B.DD..B... A99 B98
2 2 0 ..OOOP....ZP..AAZPC.....C.B.DD..B... A98 B98
2 2 0 ..OOOP....ZPAA..ZP......C.B.DDC.B... B98 C99
2 2 0 ..OOOP....ZPAA..ZPC.....C.BDD...B... B98 D99
2 2 0 .OOO.P....ZPAA..ZPC.....C.B.DD..B... O99 B98
2 2 0 OOO..P....ZPAA..ZPC.....C.B.DD..B... O98 B98
2 2 0 ..OOO.....ZPAA..ZPC....PC.B.DD..B... P99 B98
2 2 0 ..OOOP.....PAA..ZPC...Z.C.B.DD..B... Z99 B98
2 2 0 ..OOOP....ZPAAB.ZP..B...C..DD.C..... C99 D99
2 2 0 ..OOOP....ZPAAB.ZP..B...C.DD..C..... C99 D98
2 2 0 ..OOOP....ZPAAB.ZP..B...CDD...C..... C99 D97
2 2 0 .OOO.P....ZPAAB.ZP..B...C...DDC..... O99 C99
2 2 0 OOO..P....ZPAAB.ZP..B...C...DDC..... O98 C99
2 2 0 ..OOO.....ZPAAB.ZP..B..PC...DDC..... P99 C99
2 2 0 ..OOOP.....PAAB.ZP..B.Z.C...DDC..... Z99 C99
2 2 0 .OOO.P....ZPAAB.ZPC.B...C..DD....... O99 D99
2 2 0 OOO..P....ZPAAB.ZPC.B...C..DD....... O98 D99
2 2 0 ..OOO.....ZPAAB.ZPC.B..PC..DD....... P99 D99
2 2 0 ..OOO.....Z.AAB.ZPC.B..PC..DDP...... P98 D99
2 2 0 ..OOO.....Z.AAB.Z.C.B..PC..DDP.....P P97 D99
2 2 0 ..OOOP.....PAAB.ZPC.B.Z.C..DD....... Z99 D99
2 2 0 .OOO.P....ZPAAB.ZPC.B...C.DD........ O99 D98
2 2 0 OOO..P....ZPAAB.ZPC.B...C.DD........ O98 D98
2 2 0 ..OOO.....ZPAAB.ZPC.B..PC.DD........ P99 D98
2 2 0 ..OOO.....Z.AAB.ZPC.B..PC.DD.P...... P98 D98
2 2 0 ..OOO.....Z.AAB.Z.C.B..PC.DD.P.....P P97 D98
2 2 0 ..OOOP.....PAAB.ZPC.B.Z.C.DD........ Z99 D98
2 2 0 ..OOOP.....PAAB..PC.B.Z.C.DDZ....... Z98 D98
2 2 0 ..OOOP.....PAAB..PC.B...C.DDZ.....Z. Z97 D98
2 2 0 .OOO.P....ZPAAB.ZPC.B...CDD......... O99 D97
2 2 0 OOO..P....ZPAAB.ZPC.B...CDD......... O98 D97
2 2 0 ..OOO.....ZPAAB.ZPC.B..PCDD......... P99 D97
2 2 0 ..OOO.....Z.AAB.ZPC.B..PCDD..P...... P98 D97
2 2 0 ..OOO.....Z.AAB.Z.C.B..PCDD..P.....P P97 D97
2 2 0 ..OOOP.....PAAB.ZPC.B.Z.CDD......... Z99 D97
2 2 0 ..OOOP.....PAAB..PC.B.Z.CDD.Z....... Z98 D97
2 2 0 ..OOOP.....PAAB..PC.B...CDD.Z.....Z. Z97 D97
2 2 0 .OOO......ZPAAB.ZPC.B..PC...DD...... O99 P99
2 2 0 .OOOZP....ZPAAB..PC.B...C...DD...... O99 Z99
2 2 0 .OOO.P.....PAAB.ZPC.B.Z.C...DD...... O99 Z99
2 2 0 OOO.......ZPAAB.ZPC.B..PC...DD...... O98 P99
2 2 0 OOO.ZP....ZPAAB..PC.B...C...DD...... O98 Z99
2 2 0 OOO..P.....PAAB.ZPC.B.Z.C...DD...... O98 Z99
2 2 0 ...OOO....ZPAAB.ZPC.B..PC...DD...... O99 P99
2 2 0 ..OOO......PAAB.ZPC.B.ZPC...DD...... P99 Z99
3 3 0 ..OOOP..B.ZPAAB.ZP......C..DD.C..... B99 C99 D99
3 3 0 ..OOOP..B.ZPAAB.ZP......C.DD..C..... B99 C99 D98
3 3 0 ..OOOP..B.ZPAAB.ZP......CDD...C..... B99 C99 D97
3 3 0 .OOO.P..B.ZPAAB.ZP......C...DDC..... O99 B99 C99
3 3 0 OOO..P..B.ZPAAB.ZP......C...DDC..... O98 B99 C99
3 3 0 ..OOO...B.ZPAAB.ZP.....PC...DDC..... P99 B99 C99
3 3 0 ..OOOP..B..PAAB.ZP....Z.C...DDC..... Z99 B99 C99
3 3 0 .OOO.P..B.ZPAAB.ZPC.....C..DD....... O99 B99 D99
3 3 0 OOO..P..B.ZPAAB.ZPC.....C..DD....... O98 B99 D99
3 3 0 ..OOO...B.ZPAAB.ZPC....PC..DD....... P99 B99 D99
3 3 0 ..OOO...B.Z.AAB.ZPC....PC..DDP...... P98 B99 D99
3 3 0 ..OOO...B.Z.AAB.Z.C....PC..DDP.....P P97 B99 D99
3 3 0 ..OOOP..B..PAAB.ZPC...Z.C..DD....... Z99 B99 D99
3 3 0 .OOO.P..B.ZPAAB.ZPC.....C.DD........ O99 B99 D98
3 3 0 OOO..P..B.ZPAAB.ZPC.....C.DD........ O98 B99 D98
3 3 0 ..OOO...B.ZPAAB.ZPC....PC.DD........ P99 B99 D98
3 3 0 ..OOO...B.Z.AAB.ZPC....PC.DD.P...... P98 B99 D98
3 3 0 ..OOO...B.Z.AAB.Z.C....PC.DD.P.....P P97 B99 D98
3 3 0 ..OOOP..B..PAAB.ZPC...Z.C.DD........ Z99 B99 D98
3 3 0 ..OOOP..B..PAAB..PC...Z.C.DDZ....... Z98 B99 D98
3 3 0 ..OOOP..B..PAAB..PC.....C.DDZ.....Z. Z97 B99 D98
3 3 0 .OOO.P..B.ZPAAB.ZPC.....CDD......... O99 B99 D97
3 3 0 OOO..P..B.ZPAAB.ZPC.....CDD......... O98 B99 D97
3 3 0 ..OOO...B.ZPAAB.ZPC....PCDD......... P99 B99 D97
3 3 0 ..OOO...B.Z.AAB.ZPC....PCDD..P...... P98 B99 D97
3 3 0 ..OOO...B.Z.AAB.Z.C....PCDD..P.....P P97 B99 D97
3 3 0 ..OOOP..B..PAAB.ZPC...Z.CDD......... Z99 B99 D97
3 3 0 ..OOOP..B..PAAB..PC...Z.CDD.Z....... Z98 B99 D97
3 3 0 ..OOOP..B..PAAB..PC.....CDD.Z.....Z. Z97 B99 D97
3 3 0 .OOO....B.ZPAAB.ZPC....PC...DD...... O99 P99 B99
3 3 0 .OOOZP..B.ZPAAB..PC.....C...DD...... O99 Z99 B99
3 3 0 .OOO.P..B..PAAB.ZPC...Z.C...DD...... O99 Z99 B99
3 3 0 OOO.....B.ZPAAB.ZPC....PC...DD...... O98 P99 B99
3 3 0 OOO.ZP..B.ZPAAB..PC.....C...DD...... O98 Z99 B99
3 3 0 OOO..P..B..PAAB.ZPC...Z.C...DD...... O98 Z99 B99
3 3 0 ...OOO..B.ZPAAB.ZPC....PC...DD...... O99 P99 B99
3 3 0 ..OOO...B..PAAB.ZPC...ZPC...DD...... P99 Z99 B99
3 3 0 ..OOOP....ZPCAA.ZPC.B.....B.DD...... A99 B99 C99
3 3 0 ..OOOPC...ZPCAA.ZP..B.....B.DD...... A99 B99 C98
3 3 0 C.OOOPC...ZP.AA.ZP..B.....B.DD...... A99 B99 C97
3 3 0 ..OOOP....ZP.AA.ZP..B...C.B.DDC..... A99 B99 C99
3 3 0 ..OOOP....ZP.AA.ZPC.B...C.BDD....... A99 B99 D99
3 3 0 .OOO.P....ZP.AA.ZPC.B...C.B.DD...... O99 A99 B99
3 3 0 OOO..P....ZP.AA.ZPC.B...C.B.DD...... O98 A99 B99
3 3 0 ..OOO.....ZP.AA.ZPC.B..PC.B.DD...... P99 A99 B99
3 3 0 ..OOOP.....P.AA.ZPC.B.Z.C.B.DD...... Z99 A99 B99
3 3 0 ..OOOP....ZPC.AAZPC.B.....B.DD...... A98 B99 C99
3 3 0 ..OOOPC...ZPC.AAZP..B.....B.DD...... A98 B99 C98
3 3 0 C.OOOPC...ZP..AAZP..B.....B.DD...... A98 B99 C97
3 3 0 ..OOOP....ZP..AAZP..B...C.B.DDC..... A98 B99 C99
3 3 0 ..OOOP....ZP..AAZPC.B...C.BDD....... A98 B99 D99
3 3 0 .OOO.P....ZP..AAZPC.B...C.B.DD...... O99 A98 B99
3 3 0 OOO..P....ZP..AAZPC.B...C.B.DD...... O98 A98 B99
3 3 0 ..OOO.....ZP..AAZPC.B..PC.B.DD...... P99 A98 B99
3 3 0 ..OOOP.....P..AAZPC.B.Z.C.B.DD...... Z99 A98 B99
3 3 0 ..OOOP....ZPAA..ZP..B...C.BDD.C..... B99 C99 D99
3 3 0 .OOO.P....ZPAA..ZP..B...C.B.DDC..... O99 B99 C99
3 3 0 OOO..P....ZPAA..ZP..B...C.B.DDC..... O98 B99 C99
3 3 0 ..OOO.....ZPAA..ZP..B..PC.B.DDC..... P99 B99 C99
3 3 0 ..OOOP.....PAA..ZP..B.Z.C.B.DDC..... Z99 B99 C99
3 3 0 .OOO.P....ZPAA..ZPC.B...C.BDD....... O99 B99 D99
3 3 0 OOO..P....ZPAA..ZPC.B...C.BDD....... O98 B99 D99
3 3 0 ..OOO.....ZPAA..ZPC.B..PC.BDD....... P99 B99 D99
3 3 0 ..OOO.....Z.AA..ZPC.B..PC.BDDP...... P98 B99 D99
3 3 0 ..OOO.....Z.AA..Z.C.B..PC.BDDP.....P P97 B99 D99
3 3 0 ..OOOP.....PAA..ZPC.B.Z.C.BDD....... Z99 B99 D99
