0 0 0 ...O.....OZ.AA.OZB.....B.C...D.CEE.D
1 1 0 ...O.....OZ..AAOZB.....B.C...D.CEE.D A99
1 1 0 ...O.....OZBAA.OZB.......C...D.CEE.D B99
1 1 0 ...O.B...OZBAA.OZ........C...D.CEE.D B98
1 1 0 ...O.....OZ.AA.OZB.C...B.C...D..EE.D C99
1 1 0 ...O.....OZ.AA.OZB.....B.C...D.C.EED E99
1 1 0 .........OZ.AA.OZB...O.B.C...D.CEE.D O99
1 1 0 ..........Z.AA.OZB...O.B.C.O.D.CEE.D O98
1 1 0 ...OZ....OZ.AA.O.B.....B.C...D.CEE.D Z99
1 1 0 ...O.....O..AA.OZB....ZB.C...D.CEE.D Z99
1 1 0 ...O.....O..AA.O.B....ZB.C..ZD.CEE.D Z98
1 1 0 ...O.....O..AA.O.B.....B.C..ZD.CEEZD Z97
2 2 0 ...O.....OZB.AAOZB.......C...D.CEE.D A99 B99
2 2 0 ...O.B...OZB.AAOZ........C...D.CEE.D A99 B98
2 2 0 ...O.....OZ..AAOZB.C...B.C...D..EE.D A99 C99
2 2 0 ...O.....OZ..AAOZB.....B.C...D.C.EED A99 E99
2 2 0 .........OZ..AAOZB...O.B.C...D.CEE.D O99 A99
2 2 0 ..........Z..AAOZB...O.B.C.O.D.CEE.D O98 A99
2 2 0 ...OZ....OZ..AAO.B.....B.C...D.CEE.D Z99 A99
2 2 0 ...O.....O...AAOZB....ZB.C...D.CEE.D Z99 A99
2 2 0 ...O.....O...AAO.B....ZB.C..ZD.CEE.D Z98 A99
2 2 0 ...O.....O...AAO.B.....B.C..ZD.CEEZD Z97 A99
2 2 0 ...O.....OZBAA.OZB.C.....C...D..EE.D B99 C99
2 2 0 ...O.....OZBAA.OZB.....D.C...D.CEE.. B99 D99
2 2 0 ...O.....OZBAA.OZB.......C...D.C.EED B99 E99
2 2 0 .........OZBAA.OZB...O...C...D.CEE.D O99 B99
2 2 0 ..........ZBAA.OZB...O...C.O.D.CEE.D O98 B99
2 2 0 ...OZ....OZBAA.O.B.......C...D.CEE.D Z99 B99
2 2 0 ...O.....O.BAA.OZB....Z..C...D.CEE.D Z99 B99
2 2 0 ...O.....O.BAA.O.B....Z..C..ZD.CEE.D Z98 B99
2 2 0 ...O.....O.BAA.O.B.......C..ZD.CEEZD Z97 B99
2 2 0 ...O.B...OZBAA.OZ..C.....C...D..EE.D B98 C99
2 2 0 ...O.B...OZBAA.OZ......D.C...D.CEE.. B98 D99
2 2 0 ...O.B...OZBAA.OZD.....D.C.....CEE.. B98 D98
2 2 0 ...O.B...OZBAA.OZ........C...D.C.EED B98 E99
2 2 0 .....B...OZBAA.OZ....O...C...D.CEE.D O99 B98
2 2 0 .....B....ZBAA.OZ....O...C.O.D.CEE.D O98 B98
2 2 0 ...OZB...OZBAA.O.........C...D.CEE.D Z99 B98
2 2 0 ...O.B...O.BAA.OZ.....Z..C...D.CEE.D Z99 B98
2 2 0 ...O.B...O.BAA.O......Z..C..ZD.CEE.D Z98 B98
2 2 0 ...O.B...O.BAA.O.........C..ZD.CEEZD Z97 B98
2 2 0 ...O.....OZ.AA.OZB.C...B.C...D.EE..D C99 E99
2 2 0 ...O.....OZ.AA.OZB.C...B.C...DEE...D C99 E98
2 2 0 ...O.....OZ.AA.OZB.C...B.C...D...EED C99 E99
2 2 0 .........OZ.AA.OZB.C.O.B.C...D..EE.D O99 C99
2 2 0 ..........Z.AA.OZB.C.O.B.C.O.D..EE.D O98 C99
2 2 0 ...OZ....OZ.AA.O.B.C...B.C...D..EE.D Z99 C99
2 2 0 ...O.....O..AA.OZB.C..ZB.C...D..EE.D Z99 C99
2 2 0 ...O.....O..AA.O.B.C..ZB.C..ZD..EE.D Z98 C99
2 2 0 ...O.....O..AA.O.B.C...B.C..ZD..EEZD Z97 C99
2 2 0 .........OZ.AA.OZB...O.B.C...D.C.EED O99 E99
2 2 0 ..........Z.AA.OZB...O.B.C.O.D.C.EED O98 E99
2 2 0 ...OZ....OZ.AA.O.B.....B.C...D.C.EED Z99 E99
2 2 0 ...O.....O..AA.OZB....ZB.C...D.C.EED Z99 E99
2 2 0 ...O.....O..AA.O.B....ZB.C..ZD.C.EED Z98 E99
2 2 0 ....Z....OZ.AA.O.B...O.B.C...D.CEE.D O99 Z99
2 2 0 .........O..AA.OZB...OZB.C...D.CEE.D O99 Z99
2 2 0 .........O..AA.O.B...OZB.C..ZD.CEE.D O99 Z98
2 2 0 .........O..AA.O.B...O.B.C..ZD.CEEZD O99 Z97
2 2 0 ....Z.....Z.AA.O.B...O.B.C.O.D.CEE.D O98 Z99
2 2 0 ............AA.OZB...OZB.C.O.D.CEE.D O98 Z99
2 2 0 ............AA.O.B...OZB.C.OZD.CEE.D O98 Z98
2 2 0 ............AA.O.B...O.B.C.OZD.CEEZD O98 Z97
3 3 0 ...O.....OZB.AAOZB.C.....C...D..EE.D A99 B99 C99
3 3 0 ...O.....OZB.AAOZB.....D.C...D.CEE.. A99 B99 D99
3 3 0 ...O.....OZB.AAOZB.......C...D.C.EED A99 B99 E99
3 3 0 .........OZB.AAOZB...O...C...D.CEE.D O99 A99 B99
3 3 0 ..........ZB.AAOZB...O...C.O.D.CEE.D O98 A99 B99
3 3 0 ...OZ....OZB.AAO.B.......C...D.CEE.D Z99 A99 B99
3 3 0 ...O.....O.B.AAOZB....Z..C...D.CEE.D Z99 A99 B99
3 3 0 ...O.....O.B.AAO.B....Z..C..ZD.CEE.D Z98 A99 B99
3 3 0 ...O.....O.B.AAO.B.......C..ZD.CEEZD Z97 A99 B99
3 3 0 ...O.B...OZB.AAOZ..C.....C...D..EE.D A99 B98 C99
3 3 0 ...O.B...OZB.AAOZ......D.C...D.CEE.. A99 B98 D99
3 3 0 ...O.B...OZB.AAOZD.....D.C.....CEE.. A99 B98 D98
3 3 0 ...O.B...OZB.AAOZ........C...D.C.EED A99 B98 E99
3 3 0 .....B...OZB.AAOZ....O...C...D.CEE.D O99 A99 B98
3 3 0 .....B....ZB.AAOZ....O...C.O.D.CEE.D O98 A99 B98
3 3 0 ...OZB...OZB.AAO.........C...D.CEE.D Z99 A99 B98
3 3 0 ...O.B...O.B.AAOZ.....Z..C...D.CEE.D Z99 A99 B98
3 3 0 ...O.B...O.B.AAO......Z..C..ZD.CEE.D Z98 A99 B98
3 3 0 ...O.B...O.B.AAO.........C..ZD.CEEZD Z97 A99 B98
3 3 0 ...O.....OZ..AAOZB.C...B.C...D.EE..D A99 C99 E99
3 3 0 ...O.....OZ..AAOZB.C...B.C...DEE...D A99 C99 E98
3 3 0 ...O.....OZ..AAOZB.C...B.C...D...EED A99 C99 E99
3 3 0 .........OZ..AAOZB.C.O.B.C...D..EE.D O99 A99 C99
3 3 0 ..........Z..AAOZB.C.O.B.C.O.D..EE.D O98 A99 C99
3 3 0 ...OZ....OZ..AAO.B.C...B.C...D..EE.D Z99 A99 C99
3 3 0 ...O.....O...AAOZB.C..ZB.C...D..EE.D Z99 A99 C99
3 3 0 ...O.....O...AAO.B.C..ZB.C..ZD..EE.D Z98 A99 C99
3 3 0 ...O.....O...AAO.B.C...B.C..ZD..EEZD Z97 A99 C99
3 3 0 .........OZ..AAOZB...O.B.C...D.C.EED O99 A99 E99
3 3 0 ..........Z..AAOZB...O.B.C.O.D.C.EED O98 A99 E99
3 3 0 ...OZ....OZ..AAO.B.....B.C...D.C.EED Z99 A99 E99
3 3 0 ...O.....O...AAOZB....ZB.C...D.C.EED Z99 A99 E99
3 3 0 ...O.....O...AAO.B....ZB.C..ZD.C.EED Z98 A99 E99
3 3 0 ....Z....OZ..AAO.B...O.B.C...D.CEE.D O99 Z99 A99
3 3 0 .........O...AAOZB...OZB.C...D.CEE.D O99 Z99 A99
3 3 0 .........O...AAO.B...OZB.C..ZD.CEE.D O99 Z98 A99
3 3 0 .........O...AAO.B...O.B.C..ZD.CEEZD O99 Z97 A99
3 3 0 ....Z.....Z..AAO.B...O.B.C.O.D.CEE.D O98 Z99 A99
3 3 0 .............AAOZB...OZB.C.O.D.CEE.D O98 Z99 A99
3 3 0 .............AAO.B...OZB.C.OZD.CEE.D O98 Z98 A99
3 3 0 .............AAO.B...O.B.C.OZD.CEEZD O98 Z97 A99
3 3 0 ...O.....OZBAA.OZB.C...D.C...D..EE.. B99 C99 D99
3 3 0 ...O.....OZBAA.OZB.C.....C...D.EE..D B99 C99 E99
3 3 0 ...O.....OZBAA.OZB.C.....C...DEE...D B99 C99 E98
3 3 0 ...O.....OZBAA.OZB.C.....C...D...EED B99 C99 E99
3 3 0 .........OZBAA.OZB.C.O...C...D..EE.D O99 B99 C99
3 3 0 ..........ZBAA.OZB.C.O...C.O.D..EE.D O98 B99 C99
3 3 0 ...OZ....OZBAA.O.B.C.....C...D..EE.D Z99 B99 C99
3 3 0 ...O.....O.BAA.OZB.C..Z..C...D..EE.D Z99 B99 C99
3 3 0 ...O.....O.BAA.O.B.C..Z..C..ZD..EE.D Z98 B99 C99
3 3 0 ...O.....O.BAA.O.B.C.....C..ZD..EEZD Z97 B99 C99
3 3 0 ...O.....OZBAA.OZB.....D.C...D.C.EE. B99 D99 E99
3 3 0 ...O.....OZBAA.OZB.....D.C...D.C..EE B99 D99 E98
3 3 0 .........OZBAA.OZB...O.D.C...D.CEE.. O99 B99 D99
3 3 0 ..........ZBAA.OZB...O.D.C.O.D.CEE.. O98 B99 D99
3 3 0 ...OZ....OZBAA.O.B.....D.C...D.CEE.. Z99 B99 D99
3 3 0 ...O.....O.BAA.OZB....ZD.C...D.CEE.. Z99 B99 D99
3 3 0 ...O.....O.BAA.O.B....ZD.C..ZD.CEE.. Z98 B99 D99
