0 0 0 OOOZZPBBQ.CPAAQ.CP..Q...DEEF..DGGFHH
1 1 0 OOOZZPBBQ..PAAQ.CP..Q.C.DEEF..DGGFHH C99
1 1 0 OOOZZPBBQ..PAAQ..P..Q.C.DEEFC.DGGFHH C98
1 1 0 OOOZZPBBQ.CPAAQ.CPD.Q...DEEF...GGFHH D99
1 1 0 OOOZZPBBQ.CPAAQ.CP..QF..DEEF..DGG.HH F99
1 1 0 OOOZZPBBQ.CPAAQFCP..QF..DEE...DGG.HH F98
1 1 0 OOOZZPBBQFCPAAQFCP..Q...DEE...DGG.HH F97
1 1 0 OOOZZ.BBQ.CPAAQ.CP..Q..PDEEF..DGGFHH P99
1 1 0 OOOZZ.BBQ.C.AAQ.CP..Q..PDEEF.PDGGFHH P98
2 2 0 OOOZZPBBQ..PAAQ.CPD.Q.C.DEEF...GGFHH C99 D99
2 2 0 OOOZZPBBQ..PAAQ.CP..QFC.DEEF..DGG.HH C99 F99
2 2 0 OOOZZPBBQ..PAAQFCP..QFC.DEE...DGG.HH C99 F98
2 2 0 OOOZZPBBQF.PAAQFCP..Q.C.DEE...DGG.HH C99 F97
2 2 0 OOOZZ.BBQ..PAAQ.CP..Q.CPDEEF..DGGFHH P99 C99
2 2 0 OOOZZ.BBQ...AAQ.CP..Q.CPDEEF.PDGGFHH P98 C99
2 2 0 OOOZZPBBQ..PAAQ..PD.Q.C.DEEFC..GGFHH C98 D99
2 2 0 OOOZZPBBQ..PAAQ..P..QFC.DEEFC.DGG.HH C98 F99
2 2 0 OOOZZPBBQ..PAAQF.P..QFC.DEE.C.DGG.HH C98 F98
2 2 0 OOOZZPBBQF.PAAQF.P..Q.C.DEE.C.DGG.HH C98 F97
2 2 0 OOOZZ.BBQ..PAAQ..P..Q.CPDEEFC.DGGFHH P99 C98
2 2 0 OOOZZ.BBQ...AAQ..P..Q.CPDEEFCPDGGFHH P98 C98
2 2 0 OOOZZPBBQ.CPAAQ.CPD.QF..DEEF...GG.HH D99 F99
2 2 0 OOOZZPBBQ.CPAAQFCPD.QF..DEE....GG.HH D99 F98
2 2 0 OOOZZPBBQFCPAAQFCPD.Q...DEE....GG.HH D99 F97
2 2 0 OOOZZPBBQ.CPAAQ.CPD.Q...DEEF..GG.FHH D99 G99
2 2 0 OOOZZ.BBQ.CPAAQ.CPD.Q..PDEEF...GGFHH P99 D99
2 2 0 OOOZZ.BBQ.C.AAQ.CPD.Q..PDEEF.P.GGFHH P98 D99
2 2 0 OOOZZPBBQ.CPAAQ.CP..QF..DEEF..D.GGHH F99 G99
2 2 0 OOOZZPBBQ.CPAAQ.CP..QF..DEEF..DGGHH. F99 H99
2 2 0 OOOZZ.BBQ.CPAAQ.CP..QF.PDEEF..DGG.HH P99 F99
2 2 0 OOOZZ.BBQ.C.AAQ.CP..QF.PDEEF.PDGG.HH P98 F99
2 2 0 OOOZZPBBQ.CPAAQFCP..QF..D.EE..DGG.HH E99 F98
2 2 0 OOOZZPBBQ.CPAAQFCP..QF..D..EE.DGG.HH E98 F98
2 2 0 OOOZZPBBQ.CPAAQFCP..QF..D...EEDGG.HH E97 F98
2 2 0 OOOZZPBBQ.CPAAQFCP..QF..DEE...D.GGHH F98 G99
2 2 0 OOOZZPBBQ.CPAAQFCP..QF..DEE...DGGHH. F98 H99
2 2 0 OOOZZ.BBQ.CPAAQFCP..QF.PDEE...DGG.HH P99 F98
2 2 0 OOOZZ.BBQ.C.AAQFCP..QF.PDEE..PDGG.HH P98 F98
2 2 0 OOOZZPBBQFCPAAQFCP..Q...D.EE..DGG.HH E99 F97
2 2 0 OOOZZPBBQFCPAAQFCP..Q...D..EE.DGG.HH E98 F97
2 2 0 OOOZZPBBQFCPAAQFCP..Q...D...EEDGG.HH E97 F97
2 2 0 OOOZZPBBQFCPAAQFCP..Q...DEE...D.GGHH F97 G99
2 2 0 OOOZZPBBQFCPAAQFCP..Q...DEE...DGGHH. F97 H99
2 2 0 OOOZZ.BBQFCPAAQFCP..Q..PDEE...DGG.HH P99 F97
2 2 0 OOOZZ.BBQFC.AAQFCP..Q..PDEE..PDGG.HH P98 F97
2 2 0 OOO.ZZBBQ.CPAAQ.CP..Q..PDEEF..DGGFHH Z99 P99
2 2 0 OOO.ZZBBQ.C.AAQ.CP..Q..PDEEF.PDGGFHH Z99 P98
3 3 0 OOOZZPBBQ..PAAQ.CPD.QFC.DEEF...GG.HH C99 D99 F99
3 3 0 OOOZZPBBQ..PAAQFCPD.QFC.DEE....GG.HH C99 D99 F98
3 3 0 OOOZZPBBQF.PAAQFCPD.Q.C.DEE....GG.HH C99 D99 F97
3 3 0 OOOZZPBBQ..PAAQ.CPD.Q.C.DEEF..GG.FHH C99 D99 G99
3 3 0 OOOZZ.BBQ..PAAQ.CPD.Q.CPDEEF...GGFHH P99 C99 D99
3 3 0 OOOZZ.BBQ...AAQ.CPD.Q.CPDEEF.P.GGFHH P98 C99 D99
3 3 0 OOOZZPBBQ..PAAQ.CP..QFC.DEEF..D.GGHH C99 F99 G99
3 3 0 OOOZZPBBQ..PAAQ.CP..QFC.DEEF..DGGHH. C99 F99 H99
3 3 0 OOOZZ.BBQ..PAAQ.CP..QFCPDEEF..DGG.HH P99 C99 F99
3 3 0 OOOZZ.BBQ...AAQ.CP..QFCPDEEF.PDGG.HH P98 C99 F99
3 3 0 OOOZZPBBQ..PAAQFCP..QFC.D.EE..DGG.HH C99 E99 F98
3 3 0 OOOZZPBBQ..PAAQFCP..QFC.D..EE.DGG.HH C99 E98 F98
3 3 0 OOOZZPBBQ..PAAQFCP..QFC.D...EEDGG.HH C99 E97 F98
3 3 0 OOOZZPBBQ..PAAQFCP..QFC.DEE...D.GGHH C99 F98 G99
3 3 0 OOOZZPBBQ..PAAQFCP..QFC.DEE...DGGHH. C99 F98 H99
3 3 0 OOOZZ.BBQ..PAAQFCP..QFCPDEE...DGG.HH P99 C99 F98
3 3 0 OOOZZ.BBQ...AAQFCP..QFCPDEE..PDGG.HH P98 C99 F98
3 3 0 OOOZZPBBQF.PAAQFCP..Q.C.D.EE..DGG.HH C99 E99 F97
3 3 0 OOOZZPBBQF.PAAQFCP..Q.C.D..EE.DGG.HH C99 E98 F97
3 3 0 OOOZZPBBQF.PAAQFCP..Q.C.D...EEDGG.HH C99 E97 F97
3 3 0 OOOZZPBBQF.PAAQFCP..Q.C.DEE...D.GGHH C99 F97 G99
3 3 0 OOOZZPBBQF.PAAQFCP..Q.C.DEE...DGGHH. C99 F97 H99
3 3 0 OOOZZ.BBQF.PAAQFCP..Q.CPDEE...DGG.HH P99 C99 F97
3 3 0 OOOZZ.BBQF..AAQFCP..Q.CPDEE..PDGG.HH P98 C99 F97
3 3 0 OOO.ZZBBQ..PAAQ.CP..Q.CPDEEF..DGGFHH Z99 P99 C99
3 3 0 OOO.ZZBBQ...AAQ.CP..Q.CPDEEF.PDGGFHH Z99 P98 C99
3 3 0 OOOZZPBBQ..PAAQ..PD.QFC.DEEFC..GG.HH C98 D99 F99
3 3 0 OOOZZPBBQ..PAAQF.PD.QFC.DEE.C..GG.HH C98 D99 F98
3 3 0 OOOZZPBBQF.PAAQF.PD.Q.C.DEE.C..GG.HH C98 D99 F97
3 3 0 OOOZZPBBQ..PAAQ..PD.Q.C.DEEFC.GG.FHH C98 D99 G99
3 3 0 OOOZZ.BBQ..PAAQ..PD.Q.CPDEEFC..GGFHH P99 C98 D99
3 3 0 OOOZZ.BBQ...AAQ..PD.Q.CPDEEFCP.GGFHH P98 C98 D99
3 3 0 OOOZZPBBQ..PAAQ..P..QFC.DEEFC.D.GGHH C98 F99 G99
3 3 0 OOOZZPBBQ..PAAQ..P..QFC.DEEFC.DGGHH. C98 F99 H99
3 3 0 OOOZZ.BBQ..PAAQ..P..QFCPDEEFC.DGG.HH P99 C98 F99
3 3 0 OOOZZ.BBQ...AAQ..P..QFCPDEEFCPDGG.HH P98 C98 F99
3 3 0 OOOZZPBBQ..PAAQF.P..QFC.D.EEC.DGG.HH C98 E99 F98
3 3 0 OOOZZPBBQ..PAAQF.P..QFC.DEE.C.D.GGHH C98 F98 G99
3 3 0 OOOZZPBBQ..PAAQF.P..QFC.DEE.C.DGGHH. C98 F98 H99
3 3 0 OOOZZ.BBQ..PAAQF.P..QFCPDEE.C.DGG.HH P99 C98 F98
3 3 0 OOOZZ.BBQ...AAQF.P..QFCPDEE.CPDGG.HH P98 C98 F98
3 3 0 OOOZZPBBQF.PAAQF.P..Q.C.D.EEC.DGG.HH C98 E99 F97
3 3 0 OOOZZPBBQF.PAAQF.P..Q.C.DEE.C.D.GGHH C98 F97 G99
