0 0 0 ..OOOP..Z.BPAAZ.BP..........CC......
1 1 0 ..OOOP..Z..PAAZ.BP....B.....CC...... B99
1 1 0 ..OOOP..Z.BPAAZ.BP.........CC....... C99
1 1 0 ..OOOP..Z.BPAAZ.BP........CC........ C98
1 1 0 ..OOOP..Z.BPAAZ.BP.......CC......... C97
1 1 0 ..OOOP..Z.BPAAZ.BP......CC.......... C96
1 1 0 .OOO.P..Z.BPAAZ.BP..........CC...... O99
1 1 0 OOO..P..Z.BPAAZ.BP..........CC...... O98
1 1 0 ..OOO...Z.BPAAZ.BP.....P....CC...... P99
1 1 0 ..OOOP....BPAAZ.BP..Z.......CC...... Z99
1 1 0 ..OOOP....BPAA..BP..Z.....Z.CC...... Z98
1 1 0 ..OOOP....BPAA..BP........Z.CC..Z... Z97
2 2 0 ..OOOP..Z..PAAZ.BP....B....CC....... B99 C99
2 2 0 ..OOOP..Z..PAAZ.BP....B...CC........ B99 C98
2 2 0 ..OOOP..Z..PAAZ.BP....B..CC......... B99 C97
2 2 0 ..OOOP..Z..PAAZ.BP....B.CC.......... B99 C96
2 2 0 .OOO.P..Z..PAAZ.BP....B.....CC...... O99 B99
2 2 0 OOO..P..Z..PAAZ.BP....B.....CC...... O98 B99
2 2 0 ..OOO...Z..PAAZ.BP....BP....CC...... P99 B99
2 2 0 ..OOOP.....PAAZ.BP..Z.B.....CC...... Z99 B99
2 2 0 ..OOOP.....PAA..BP..Z.B...Z.CC...... Z98 B99
2 2 0 ..OOOP.....PAA..BP....B...Z.CC..Z... Z97 B99
2 2 0 .OOO.P..Z.BPAAZ.BP.........CC....... O99 C99
2 2 0 OOO..P..Z.BPAAZ.BP.........CC....... O98 C99
2 2 0 ..OOO...Z.BPAAZ.BP.....P...CC....... P99 C99
2 2 0 ..OOO...Z.B.AAZ.BP.....P...CCP...... P98 C99
2 2 0 ..OOO...Z.B.AAZ.B......P...CCP.....P P97 C99
2 2 0 ..OOOP....BPAAZ.BP..Z......CC....... Z99 C99
2 2 0 ..OOOP....BPAA..BP..Z.....ZCC....... Z98 C99
2 2 0 ..OOOP....BPAA..BP........ZCC...Z... Z97 C99
2 2 0 ..OOOP..Z..PAAZ..P....B...CCB....... B98 C98
2 2 0 ..OOOP..Z..PAAZ..P........CCB.....B. B97 C98
2 2 0 .OOO.P..Z.BPAAZ.BP........CC........ O99 C98
2 2 0 OOO..P..Z.BPAAZ.BP........CC........ O98 C98
2 2 0 ..OOO...Z.BPAAZ.BP.....P..CC........ P99 C98
2 2 0 ..OOO...Z.B.AAZ.BP.....P..CC.P...... P98 C98
2 2 0 ..OOO...Z.B.AAZ.B......P..CC.P.....P P97 C98
2 2 0 ..OOOP....BPAAZ.BP..Z.....CC........ Z99 C98
2 2 0 ..OOOP..Z..PAAZ..P....B..CC.B....... B98 C97
2 2 0 ..OOOP..Z..PAAZ..P.......CC.B.....B. B97 C97
2 2 0 .OOO.P..Z.BPAAZ.BP.......CC......... O99 C97
2 2 0 OOO..P..Z.BPAAZ.BP.......CC......... O98 C97
2 2 0 ..OOO...Z.BPAAZ.BP.....P.CC......... P99 C97
2 2 0 ..OOO...Z.B.AAZ.BP.....P.CC..P...... P98 C97
2 2 0 ..OOO...Z.B.AAZ.B......P.CC..P.....P P97 C97
2 2 0 ..OOOP....BPAAZ.BP..Z....CC......... Z99 C97
2 2 0 ..OOOP..Z..PAAZ..P....B.CC..B....... B98 C96
2 2 0 ..OOOP..Z..PAAZ..P......CC..B.....B. B97 C96
2 2 0 .OOO.P..Z.BPAAZ.BP......CC.......... O99 C96
2 2 0 OOO..P..Z.BPAAZ.BP......CC.......... O98 C96
2 2 0 ..OOO...Z.BPAAZ.BP.....PCC.......... P99 C96
2 2 0 ..OOO...Z.B.AAZ.BP.....PCC...P...... P98 C96
2 2 0 ..OOO...Z.B.AAZ.B......PCC...P.....P P97 C96
2 2 0 ..OOOP....BPAAZ.BP..Z...CC.......... Z99 C96
2 2 0 ..OOOP....BPAA..BP..Z...CCZ......... Z98 C96
2 2 0 ..OOOP....BPAA..BP......CCZ.....Z... Z97 C96
2 2 0 .OOOBP..Z.BPAAZ..P..........CC...... O99 B99
2 2 0 .OOO....Z.BPAAZ.BP.....P....CC...... O99 P99
2 2 0 .OOO.P....BPAAZ.BP..Z.......CC...... O99 Z99
2 2 0 .OOO.P....BPAA..BP..Z.....Z.CC...... O99 Z98
2 2 0 .OOO.P....BPAA..BP........Z.CC..Z... O99 Z97
2 2 0 OOO.BP..Z.BPAAZ..P..........CC...... O98 B99
2 2 0 OOO.....Z.BPAAZ.BP.....P....CC...... O98 P99
2 2 0 OOO..P....BPAAZ.BP..Z.......CC...... O98 Z99
2 2 0 OOO..P....BPAA..BP..Z.....Z.CC...... O98 Z98
2 2 0 OOO..P....BPAA..BP........Z.CC..Z... O98 Z97
2 2 0 ...OOO..Z.BPAAZ.BP.....P....CC...... O99 P99
2 2 0 ..OOO.....BPAAZ.BP..Z..P....CC...... P99 Z99
2 2 0 ..OOO.....BPAA..BP..Z..P..Z.CC...... P99 Z98
2 2 0 ..OOO.....BPAA..BP.....P..Z.CC..Z... P99 Z97
2 2 0 ..OOOP....BP.AA.BP..Z.....Z.CC...... Z98 A99
2 2 0 ..OOOP....BP..AABP..Z.....Z.CC...... Z98 A98
2 2 0 ..OOOP....BP.AA.BP........Z.CC..Z... Z97 A99
2 2 0 ..OOOP....BP..AABP........Z.CC..Z... Z97 A98
3 3 0 .OOO.P..Z..PAAZ.BP....B....CC....... O99 B99 C99
3 3 0 OOO..P..Z..PAAZ.BP....B....CC....... O98 B99 C99
3 3 0 ..OOO...Z..PAAZ.BP....BP...CC....... P99 B99 C99
3 3 0 ..OOO...Z...AAZ.BP....BP...CCP...... P98 B99 C99
3 3 0 ..OOO...Z...AAZ.B.....BP...CCP.....P P97 B99 C99
3 3 0 ..OOOP.....PAAZ.BP..Z.B....CC....... Z99 B99 C99
3 3 0 ..OOOP.....PAA..BP..Z.B...ZCC....... Z98 B99 C99
3 3 0 ..OOOP.....PAA..BP....B...ZCC...Z... Z97 B99 C99
3 3 0 .OOO.P..Z..PAAZ.BP....B...CC........ O99 B99 C98
3 3 0 OOO..P..Z..PAAZ.BP....B...CC........ O98 B99 C98
3 3 0 ..OOO...Z..PAAZ.BP....BP..CC........ P99 B99 C98
3 3 0 ..OOO...Z...AAZ.BP....BP..CC.P...... P98 B99 C98
3 3 0 ..OOO...Z...AAZ.B.....BP..CC.P.....P P97 B99 C98
3 3 0 ..OOOP.....PAAZ.BP..Z.B...CC........ Z99 B99 C98
3 3 0 .OOO.P..Z..PAAZ.BP....B..CC......... O99 B99 C97
3 3 0 OOO..P..Z..PAAZ.BP....B..CC......... O98 B99 C97
3 3 0 ..OOO...Z..PAAZ.BP....BP.CC......... P99 B99 C97
3 3 0 ..OOO...Z...AAZ.BP....BP.CC..P...... P98 B99 C97
3 3 0 ..OOO...Z...AAZ.B.....BP.CC..P.....P P97 B99 C97
3 3 0 ..OOOP.....PAAZ.BP..Z.B..CC......... Z99 B99 C97
3 3 0 .OOO.P..Z..PAAZ.BP....B.CC.......... O99 B99 C96
3 3 0 OOO..P..Z..PAAZ.BP....B.CC.......... O98 B99 C96
3 3 0 ..OOO...Z..PAAZ.BP....BPCC.......... P99 B99 C96
3 3 0 ..OOO...Z...AAZ.BP....BPCC...P...... P98 B99 C96
3 3 0 ..OOO...Z...AAZ.B.....BPCC...P.....P P97 B99 C96
3 3 0 ..OOOP.....PAAZ.BP..Z.B.CC.......... Z99 B99 C96
3 3 0 ..OOOP.....PAA..BP..Z.B.CCZ......... Z98 B99 C96
3 3 0 ..OOOP.....PAA..BP....B.CCZ.....Z... Z97 B99 C96
3 3 0 .OOO....Z..PAAZ.BP....BP....CC...... O99 P99 B99
3 3 0 .OOO.P.....PAAZ.BP..Z.B.....CC...... O99 Z99 B99
3 3 0 .OOO.P.....PAA..BP..Z.B...Z.CC...... O99 Z98 B99
3 3 0 .OOO.P.....PAA..BP....B...Z.CC..Z... O99 Z97 B99
3 3 0 OOO.....Z..PAAZ.BP....BP....CC...... O98 P99 B99
3 3 0 OOO..P.....PAAZ.BP..Z.B.....CC...... O98 Z99 B99
3 3 0 OOO..P.....PAA..BP..Z.B...Z.CC...... O98 Z98 B99
3 3 0 OOO..P.....PAA..BP....B...Z.CC..Z... O98 Z97 B99
3 3 0 ...OOO..Z..PAAZ.BP....BP....CC...... O99 P99 B99
3 3 0 ..OOO......PAAZ.BP..Z.BP....CC...... P99 Z99 B99
3 3 0 ..OOO......PAA..BP..Z.BP..Z.CC...... P99 Z98 B99
3 3 0 ..OOO......PAA..BP....BP..Z.CC..Z... P99 Z97 B99
3 3 0 ..OOOP.....P.AA.BP..Z.B...Z.CC...... Z98 B99 A99
3 3 0 ..OOOP.....P..AABP..Z.B...Z.CC...... Z98 B99 A98
3 3 0 ..OOOP.....P.AA.BP....B...Z.CC..Z... Z97 B99 A99
3 3 0 ..OOOP.....P..AABP....B...Z.CC..Z... Z97 B99 A98
3 3 0 .OOOBP..Z.BPAAZ..P.........CC....... O99 B99 C99
3 3 0 .OOO....Z.BPAAZ.BP.....P...CC....... O99 P99 C99
3 3 0 .OOO....Z.B.AAZ.BP.....P...CCP...... O99 P98 C99
3 3 0 .OOO....Z.B.AAZ.B......P...CCP.....P O99 P97 C99
3 3 0 .OOO.P....BPAAZ.BP..Z......CC....... O99 Z99 C99
3 3 0 .OOO.P....BPAA..BP..Z.....ZCC....... O99 Z98 C99
3 3 0 .OOO.P....BPAA..BP........ZCC...Z... O99 Z97 C99
3 3 0 OOO.BP..Z.BPAAZ..P.........CC....... O98 B99 C99
3 3 0 OOO.....Z.BPAAZ.BP.....P...CC....... O98 P99 C99
3 3 0 OOO.....Z.B.AAZ.BP.....P...CCP...... O98 P98 C99
3 3 0 OOO.....Z.B.AAZ.B......P...CCP.....P O98 P97 C99
3 3 0 OOO..P....BPAAZ.BP..Z......CC....... O98 Z99 C99
3 3 0 OOO..P....BPAA..BP..Z.....ZCC....... O98 Z98 C99
3 3 0 OOO..P....BPAA..BP........ZCC...Z... O98 Z97 C99
3 3 0 ...OOO..Z.BPAAZ.BP.....P...CC....... O99 P99 C99
3 3 0 ..OOO.....BPAAZ.BP..Z..P...CC....... P99 Z99 C99
3 3 0 ..OOO.....BPAA..BP..Z..P..ZCC....... P99 Z98 C99
3 3 0 ..OOO.....BPAA..BP.....P..ZCC...Z... P99 Z97 C99
3 3 0 ...OOO..Z.B.AAZ.BP.....P...CCP...... O99 P98 C99
3 3 0 ..OOO.....B.AAZ.BP..Z..P...CCP...... P98 Z99 C99
3 3 0 ..OOO.....B.AA..BP..Z..P..ZCCP...... P98 Z98 C99
3 3 0 ..OOO.....B.AA..BP.....P..ZCCP..Z... P98 Z97 C99
3 3 0 ...OOO..Z.B.AAZ.B......P...CCP.....P O99 P97 C99
